"job_title","company_name","job_city","job_state","min_salary_k","max_salary_k","avg_salary_k","rating","company_age","python_yn","sql_yn","excel_yn","tableau_yn","industry","sector","revenue"
"Sr Data Scientist","Healthfirst","New York","NY",137,171,154,"3.1",31,0,0,0,0,"Insurance Carriers","Insurance","Unknown / Non-Applicable"
"Data Scientist","ManTech","Chantilly","VA",137,171,154,"4.2",56,0,1,0,0,"Research & Development","Business Services","$1 to $2 billion (USD)"
"Data Scientist","Analysis Group","Boston","MA",137,171,154,"3.8",43,1,0,1,0,"Consulting","Business Services","$100 to $500 million (USD)"
"Data Scientist","INFICON","Newton","MA",137,171,154,"3.5",24,1,1,1,0,"Electrical & Electronic Manufacturing","Manufacturing","$100 to $500 million (USD)"
"Data Scientist","Affinity Solutions","New York","NY",137,171,154,"2.9",26,1,1,1,0,"Advertising & Marketing","Business Services","Unknown / Non-Applicable"
"Data Scientist","HG Insights","Santa Barbara","CA",137,171,154,"4.2",14,1,1,1,0,"Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Data Scientist / Machine Learning Expert","Novartis","Cambridge","MA",137,171,154,"3.9",28,1,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Data Scientist","iRobot","Bedford","MA",137,171,154,"3.5",34,1,1,0,0,"Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)"
"Staff Data Scientist - Analytics","Intuit - Data","San Diego","CA",137,171,154,"4.4",41,0,0,0,0,"Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)"
"Data Scientist","XSELL Technologies","Chicago","IL",137,171,154,"3.6",10,1,1,0,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Scientist","Novetta","Herndon","VA",137,171,154,"4.5",12,1,0,1,0,"Enterprise Software & Network Solutions","Information Technology","$100 to $500 million (USD)"
"Data Scientist","1904labs","Saint Louis","MO",137,171,154,"4.7",8,1,1,0,0,"IT Services","Information Technology","Unknown / Non-Applicable"
"Data Scientist - Statistics, Early Career","PNNL","Richland","WA",137,171,154,"3.7",59,0,0,1,0,"Energy","Oil, Gas, Energy & Utilities","$500 million to $1 billion (USD)"
"Data Modeler","Old World Industries","Northbrook","IL",137,171,154,"3.1",51,1,1,1,1,"Chemical Manufacturing","Manufacturing","$1 to $2 billion (USD)"
"Data Scientist","Mathematica Policy Research","Washington","DC",137,171,154,"3.4",38,1,0,1,0,"Consulting","Business Services","$100 to $500 million (USD)"
"Experienced Data Scientist","Guzman & Griffin Technologies (GGTI)","Washington","DC",137,171,154,"4.4",27,1,1,1,1,"Federal Agencies","Government","Unknown / Non-Applicable"
"Data Scientist - Contract","Upside Business Travel","Remote","",137,171,154,"4.1",9,1,0,0,0,"Internet","Information Technology","Unknown / Non-Applicable"
"Data Scientist","Buckman","Memphis","TN",137,171,154,"3.5",79,1,1,0,0,"Chemical Manufacturing","Manufacturing","$500 million to $1 billion (USD)"
"Data Analyst II","Insight Enterprises, Inc.","Plano","TX",137,171,154,"4.2",36,0,0,1,0,"Enterprise Software & Network Solutions","Information Technology","$5 to $10 billion (USD)"
"Data Scientist","A Place for Mom","Overland Park","KS",75,131,103,"2.7",24,1,1,1,0,"Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable"
"Medical Lab Scientist","Tower Health","West Grove","PA",137,171,154,"3.5",7,0,0,0,0,"Health Care Services & Hospitals","Health Care","Unknown / Non-Applicable"
"Data Scientist","Triplebyte","New York","NY",137,171,154,"3.2",9,0,0,0,0,"Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Data Scientist/Machine Learning","PulsePoint","New York","NY",137,171,154,"4.3",13,1,0,0,0,"Internet","Information Technology","$100 to $500 million (USD)"
"Human Factors Scientist","Exponent","Phoenix","AZ",137,171,154,"3.5",57,0,0,1,0,"Consulting","Business Services","$100 to $500 million (USD)"
"Business Intelligence Analyst I- Data Insights","Guardian Life","Appleton","WI",137,171,154,"3.5",164,0,0,0,0,"Insurance Carriers","Insurance","$5 to $10 billion (USD)"
"Data Scientist","Spectrum Communications and Consulting","Chicago","IL",137,171,154,"3.4",32,0,1,0,0,"Advertising & Marketing","Business Services","$10 to $25 million (USD)"
"Data Scientist","Oversight Systems","Atlanta","GA",137,171,154,"4.7",21,1,1,1,0,"Computer Hardware & Software","Information Technology","$25 to $50 million (USD)"
"Data Scientist - Risk","LSQ","Orlando","FL",137,171,154,"4.2",28,1,0,1,1,"Investment Banking & Asset Management","Finance","$100 to $500 million (USD)"
"Data Scientist-Human Resources","MIT Lincoln Laboratory","Lexington","MA",137,171,154,"3.8",73,1,1,0,0,"Aerospace & Defense","Aerospace & Defense","Unknown / Non-Applicable"
"Data Scientist","Kingfisher Systems","McLean","VA",137,171,154,"4.5",19,1,1,0,1,"Federal Agencies","Government","$25 to $50 million (USD)"
"Data Scientist","Formation","San Francisco","CA",137,171,154,"2.8",9,0,0,1,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Scientist","Analysis Group","Boston","MA",75,131,103,"3.8",43,1,0,1,0,"Consulting","Business Services","$100 to $500 million (USD)"
"Data Scientist / Machine Learning Expert","Novartis","Cambridge","MA",75,131,103,"3.9",28,1,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Data Scientist","Cohere Health","Boston","MA",75,131,103,"5.0",5,1,1,1,0,"IT Services","Information Technology","Unknown / Non-Applicable"
"Senior Research Statistician- Data Scientist","Acuity Insurance","Sheboygan","WI",75,131,103,"4.8",99,0,0,0,0,"Insurance Carriers","Insurance","$1 to $2 billion (USD)"
"Data Engineer","Chef","United States","",75,131,103,"3.6",16,0,1,1,0,"Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)"
"Associate Data Scientist","Puget Sound Energy","Bothell","WA",75,131,103,"3.3",25,0,1,1,0,"Utilities","Oil, Gas, Energy & Utilities","$2 to $5 billion (USD)"
"Business Intelligence Analyst","Sandhills Global","Lincoln","NE",75,131,103,"2.7",46,1,1,1,1,"Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)"
"Data Scientist","Great-Circle Technologies","Chantilly","VA",75,131,103,"2.2",24,1,1,1,0,"Enterprise Software & Network Solutions","Information Technology","$1 to $5 million (USD)"
"Senior Analyst/Data Scientist","Edmunds.com","Santa Monica","CA",75,131,103,"3.4",58,1,1,1,1,"Internet","Information Technology","$100 to $500 million (USD)"
"Data Analyst","Cambridge Associates, LLC","Boston","MA",75,131,103,"3.1",51,1,1,1,0,"Investment Banking & Asset Management","Finance","$100 to $500 million (USD)"
"Machine Learning Engineer","Liberty Mutual Insurance","Portsmouth","NH",75,131,103,"3.4",112,1,0,1,0,"Insurance Carriers","Insurance","$10+ billion (USD)"
"Data Analyst I","Cenlar","Ewing","NJ",75,131,103,"2.6",66,0,1,0,0,"-1","-1","$100 to $500 million (USD)"
"Scientist - Molecular Biology","Arsenal Biosciences","South San Francisco","CA",75,131,103,"5.0",5,0,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Data Scientist","Eversight","Palo Alto","CA",75,131,103,"4.2",11,1,0,0,0,"Enterprise Software & Network Solutions","Information Technology","$10 to $25 million (USD)"
"Computational Scientist, Machine Learning","Pfizer","Cambridge","MA",75,131,103,"4.1",175,1,0,1,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Senior Data Scientist","Klaviyo","Boston","MA",75,131,103,"4.8",12,0,0,0,0,"Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Data Scientist","Intellectual Ventures","Bellevue","WA",75,131,103,"3.3",24,1,0,1,0,"Investment Banking & Asset Management","Finance","Unknown / Non-Applicable"
"Data Scientist","GovTech","San Francisco","CA",75,131,103,"3.7",8,1,0,1,1,"Federal Agencies","Government","Unknown / Non-Applicable"
"Data Scientist","Quick Base","Cambridge","MA",75,131,103,"4.3",25,1,1,1,1,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Analyst","Giving Assistant","San Francisco","CA",75,131,103,"4.8",10,1,1,1,1,"Advertising & Marketing","Business Services","$10 to $25 million (USD)"
"Data Scientist","Takeda","Cambridge","MA",75,131,103,"3.7",243,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Data Scientist","Netskope","San Francisco","CA",75,131,103,"4.0",12,1,0,1,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Jr. Data Engineer","IT Concepts","Remote","",75,131,103,"4.8",21,0,1,1,0,"IT Services","Information Technology","$10 to $25 million (USD)"
"E-Commerce Data Analyst","iSeatz","New Orleans","LA",75,131,103,"3.5",25,0,1,1,0,"Enterprise Software & Network Solutions","Information Technology","Unknown / Non-Applicable"
"Data Analytics Engineer","Summa Health System","Akron","OH",75,131,103,"3.7",98,0,0,1,1,"Health Care Services & Hospitals","Health Care","$100 to $500 million (USD)"
"Senior Data Scientist","Benson Hill","Saint Louis","MO",75,131,103,"3.5",12,1,0,1,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$1 to $5 million (USD)"
"Product Data Scientist - Ads Data Science","Twitter","San Francisco","CA",75,131,103,"4.1",18,1,0,0,0,"Internet","Information Technology","$2 to $5 billion (USD)"
"Data Scientist","Postmates - Corporate HQ","San Francisco","CA",75,131,103,"3.2",13,1,1,0,0,"Express Delivery Services","Transportation & Logistics","Unknown / Non-Applicable"
"Data Scientist - Intermediate","Envision LLC","Saint Louis","MO",75,131,103,"4.5",30,1,0,1,0,"Staffing & Outsourcing","Business Services","$25 to $50 million (USD)"
"Data Analyst","Swiss Re","Fort Wayne","IN",75,131,103,"3.8",161,1,1,1,0,"Insurance Agencies & Brokerages","Insurance","$10+ billion (USD)"
"Machine Learning Engineer","Systems & Technology Research","Woburn","MA",75,131,103,"4.5",14,1,0,1,0,"Aerospace & Defense","Aerospace & Defense","$100 to $500 million (USD)"
"Data Scientist","iRobot","Bedford","MA",79,131,105,"3.5",34,1,1,0,0,"Consumer Electronics & Appliances Stores","Retail","$1 to $2 billion (USD)"
"Data Scientist","HG Insights","Santa Barbara","CA",79,131,105,"4.2",14,1,1,1,0,"Computer Hardware & Software","Information Technology","Unknown / Non-Applicable"
"Global Data Analyst","Dermalogica","Carson","CA",79,131,105,"3.8",38,0,1,1,1,"Consumer Products Manufacturing","Manufacturing","$100 to $500 million (USD)"
"Data Engineer","Bayview Asset Management","Coral Gables","FL",79,131,105,"3.7",29,1,1,0,0,"Investment Banking & Asset Management","Finance","$100 to $500 million (USD)"
"Data Scientist","Via Transportation","New York","NY",79,131,105,"3.7",12,1,1,0,1,"Internet","Information Technology","Unknown / Non-Applicable"
"Data Scientist","Grid Dynamics","Santa Clara","CA",79,131,105,"4.0",18,1,1,1,1,"Enterprise Software & Network Solutions","Information Technology","$50 to $100 million (USD)"
"Data & Machine Learning Scientist","Tempus Labs","Chicago","IL",79,131,105,"3.3",9,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Data Scientist - Machine Learning","CareDx","Brisbane","CA",79,131,105,"2.5",NULL,1,0,1,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Data Engineer (Remote)","IZEA","Winter Park","FL",79,131,105,"4.2",18,1,1,1,0,"Advertising & Marketing","Business Services","$25 to $50 million (USD)"
"Data Scientist, Applied Machine Learning - Bay Area","Tempus Labs","Redwood City","CA",79,131,105,"3.3",9,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Principal Data Scientist","Autodesk","San Francisco","CA",79,131,105,"4.0",42,1,0,1,0,"Computer Hardware & Software","Information Technology","$2 to $5 billion (USD)"
"Business Data Analyst","Caterpillar","Peoria","IL",79,131,105,"3.7",99,0,1,1,1,"Industrial Manufacturing","Manufacturing","$10+ billion (USD)"
"Purification Scientist","New England Biolabs","Ipswich","MA",79,131,105,"4.9",50,0,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","Unknown / Non-Applicable"
"Data Analyst","Allied Solutions","Carmel","IN",79,131,105,"3.4",23,1,1,1,1,"Insurance Agencies & Brokerages","Insurance","$100 to $500 million (USD)"
"Data Engineer, Enterprise Analytics","Healthfirst","New York","NY",79,131,105,"3.1",31,1,1,1,0,"Insurance Carriers","Insurance","Unknown / Non-Applicable"
"Data Scientist","The Knot Worldwide","Washington","DC",79,131,105,"3.5",5,1,0,0,0,"Internet","Information Technology","Unknown / Non-Applicable"
"Data Scientist","IFG Companies","New York","NY",79,131,105,"2.9",39,1,1,0,0,"Insurance Carriers","Insurance","Unknown / Non-Applicable"
"Data Scientist 3 (718)","Amyris","Emeryville","CA",79,131,105,"3.3",21,1,0,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$100 to $500 million (USD)"
"Real World Science, Data Scientist","AstraZeneca","Gaithersburg","MD",79,131,105,"4.0",111,1,1,0,0,"Biotech & Pharmaceuticals","Biotech & Pharmaceuticals","$10+ billion (USD)"
"Data Scientist","Powertek","Washington","DC",79,131,105,"3.6",23,0,0,0,0,"IT Services","Information Technology","$25 to $50 million (USD)"
"Data Engineer","Object Partners","Saint Louis","MO",79,131,105,"4.7",28,0,1,0,0,"Consulting","Business Services","$25 to $50 million (USD)"
"Data Scientist - Image and Video Analytics","The Mom Project","Longmont","CO",79,131,105,"4.9",8,1,0,0,0,"Staffing & Outsourcing","Business Services","Unknown / Non-Applicable"
"Data Scientist","Lightspeed Systems","Austin","TX",79,131,105,"4.3",25,1,1,0,0,"Computer Hardware & Software","Information Technology","$25 to $50 million (USD)"
